rfam_id,n,top1_precision_mean,top1_recall_mean,top1_f1_mean,top100_precision_mean,top100_recall_mean,top100_f1_mean,top1_mcc_mean,top100_mcc_mean,top1_precision_median,top1_recall_median,top1_f1_median,top100_precision_median,top100_recall_median,top100_f1_median,delta_f1_mean,delta_f1_median,p_best100_ge_0p7,p_best100_ge_0p9,min_n_predictions,p_best_rank_le_10,best_rank_median,best_rank_p90,best_rank_max,p_delta_f1_ge_0p3
RF00005,306.0,0.5959327246760373,0.7971748259586301,0.6664742250392302,0.7769121012632596,0.8951225022501191,0.817774272905972,0.6785025050866992,0.8254692039247706,0.6449579831932774,0.9128787878787878,0.7126984126984127,0.85,0.95,0.8912529550827424,0.15130004786674203,0.11261386294272696,0.7843137254901961,0.4738562091503268,95.0,0.2777777777777778,33.5,85.0,100.0,0.11437908496732026
no_rfam_hit,90.0,0.5339848771849812,0.6106201017685484,0.555169057727984,0.6984134208031116,0.752220445216587,0.7137693765125522,0.5597482781835483,0.7175467740051987,0.5833333333333334,0.7386363636363636,0.6583333333333333,0.8333333333333334,0.8856209150326797,0.8396572827417381,0.1586003187845684,0.11111111111111105,0.6222222222222222,0.4111111111111111,1.0,0.28888888888888886,29.5,82.10000000000001,100.0,0.17777777777777778
RF00167,12.0,0.7598655895337817,0.8481411450232961,0.796310778949593,0.8912372471582999,0.8868107356665709,0.887339394746868,0.7982587001102192,0.8872148989979984,0.723731884057971,0.8603896103896104,0.7825396825396826,0.9047619047619048,0.9,0.8942414174972315,0.09102861579727466,0.07216741591741599,1.0,0.5,100.0,0.3333333333333333,37.0,61.900000000000006,84.0,0.0
RF01852,11.0,0.7076081706804493,0.7511242723938163,0.7181266272273924,0.8666053618797165,0.8873704607718238,0.8711318133104126,0.7213707316600327,0.8729886703876474,0.8064516129032258,0.9117647058823529,0.8620689655172414,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.15300518608301983,0.047484454494064576,0.9090909090909091,0.7272727272727273,100.0,0.2727272727272727,16.0,83.0,86.0,0.2727272727272727
RF00458,9.0,0.2031772522790885,0.5059598491177438,0.27434620946351734,0.30275879319555066,0.6507307831869236,0.39208515014047035,0.3075710766147999,0.4284628481663663,0.11764705882352941,0.5714285714285714,0.19672131147540983,0.2857142857142857,0.6842105263157895,0.34782608695652173,0.11773894067695306,0.07257870704157648,0.1111111111111111,0.0,100.0,0.2222222222222222,58.0,97.4,99.0,0.1111111111111111
RF00386,9.0,0.8055678382464097,0.8540152707987017,0.8178548509211842,0.8609055654543548,0.9406282657990732,0.8950247780185795,0.8224337112351594,0.8972121314423072,0.8571428571428571,0.8775510204081632,0.793103448275862,0.9142857142857143,0.9565217391304348,0.955223880597015,0.0771699270973954,0.059701492537313605,1.0,0.5555555555555556,87.0,0.2222222222222222,63.0,95.8,99.0,0.0
RF00023,8.0,0.31247267311581134,0.7314821111696111,0.42734638957540877,0.4102612833413604,0.7857640717015717,0.5284097975504284,0.4691870351916802,0.5600360338125133,0.25252525252525254,0.7569444444444444,0.3516906762705082,0.4167579408543264,0.85625,0.5307196324019862,0.10106340797501959,0.09996322465043861,0.25,0.0,100.0,0.125,50.0,89.9,92.0,0.0
RF00027,8.0,0.5945708719605778,0.8881451989894851,0.6947625935003059,0.6586413142838975,0.9149435820945832,0.7566037324896255,0.7150661746426737,0.7698401594902031,0.6468058968058968,0.8857758620689655,0.7452907452907453,0.7361111111111112,0.9344086021505376,0.8217247097844114,0.06184113898931976,0.07325182325182322,0.625,0.125,100.0,0.0,30.5,86.0,86.0,0.0
RF00003,8.0,0.6172065507591823,0.7142239908784026,0.6571938332597893,0.8949404761904761,0.9312378797672916,0.9060056206714456,0.658140101112514,0.9088595208304724,0.6188034188034188,0.8403361344537814,0.7180667433831991,0.9666666666666667,0.9615384615384616,0.9415384615384615,0.24881178741165635,0.09148322941426396,1.0,0.625,100.0,0.875,9.5,12.399999999999999,18.0,0.375
RF01684,7.0,0.7794148380355278,0.8237737200143217,0.7916853917168364,0.8984827147233163,0.9023451485857502,0.8982933524286908,0.794191250250288,0.8981349026410663,0.8333333333333334,0.9473684210526315,0.8421052631578948,0.9473684210526315,0.95,0.9473684210526315,0.10660796071185434,0.06627680311890827,1.0,0.5714285714285714,100.0,0.2857142857142857,55.0,86.4,90.0,0.14285714285714285
