truth_len,ref_pairs,ref_pk_pairs,ref_pair_density,top1_f1,top100_f1,delta_f1
73,12,2,0.1643835616438356,0.4516129032258065,0.7096774193548387,0.25806451612903225
49,14,8,0.2857142857142857,0.7647058823529412,0.8148148148148148,0.050108932461873534
35,7,3,0.2,0.375,0.4615384615384615,0.08653846153846151
38,13,0,0.34210526315789475,0.375,0.7000000000000001,0.32500000000000007
75,20,4,0.26666666666666666,0.8,0.8571428571428571,0.05714285714285705
73,22,5,0.3013698630136986,0.5263157894736842,0.5263157894736842,0.0
75,15,0,0.2,0.5641025641025641,0.8571428571428571,0.293040293040293
67,20,5,0.29850746268656714,0.8636363636363635,0.9743589743589743,0.1107226107226108
37,15,0,0.40540540540540543,0.8666666666666667,1.0,0.1333333333333333
75,21,5,0.28,0.8421052631578947,0.9268292682926829,0.08472400513478817
74,20,0,0.2702702702702703,0.9090909090909091,0.975609756097561,0.0665188470066519
77,9,0,0.11688311688311688,0.5294117647058824,0.6428571428571429,0.11344537815126055
48,16,0,0.3333333333333333,0.7586206896551724,0.7857142857142857,0.027093596059113323
37,13,0,0.35135135135135137,1.0,1.0,0.0
57,18,0,0.3157894736842105,0.2105263157894737,0.918918918918919,0.7083926031294453
70,20,0,0.2857142857142857,0.7727272727272727,0.8780487804878048,0.10532150776053206
125,32,0,0.256,0.5915492957746479,0.7042253521126761,0.11267605633802824
127,35,0,0.2755905511811024,0.5675675675675675,0.6756756756756757,0.10810810810810811
75,22,5,0.29333333333333333,0.7272727272727273,0.9545454545454546,0.2272727272727273
150,40,0,0.26666666666666666,0.43181818181818177,0.7710843373493975,0.33926615553121575
45,7,0,0.15555555555555556,0.7368421052631579,0.7777777777777778,0.040935672514619936
74,20,5,0.2702702702702703,0.8636363636363635,0.9500000000000001,0.08636363636363653
74,18,4,0.24324324324324326,0.918918918918919,0.9444444444444444,0.02552552552552545
75,21,5,0.28,0.8837209302325582,0.9523809523809523,0.06866002214839417
47,16,0,0.3404255319148936,0.7058823529411765,0.9411764705882353,0.23529411764705876
47,16,0,0.3404255319148936,0.7058823529411765,0.9411764705882353,0.23529411764705876
74,18,0,0.24324324324324326,0.6829268292682927,0.8947368421052632,0.21181001283697043
49,16,0,0.32653061224489793,0.9411764705882353,0.9696969696969697,0.028520499108734443
155,49,0,0.3161290322580645,0.8041237113402061,0.8282828282828283,0.024159116942622183
88,25,4,0.2840909090909091,0.72,0.7307692307692308,0.010769230769230864
237,63,3,0.26582278481012656,0.5899280575539567,0.5899280575539567,0.0
46,15,0,0.32608695652173914,0.7586206896551724,0.9655172413793104,0.206896551724138
229,56,17,0.2445414847161572,0.6956521739130435,0.7169811320754718,0.021328958162428302
73,25,9,0.3424657534246575,0.9583333333333334,0.96,0.0016666666666665941
