f1 cdf
0 0
0.000000 0.001244
0.142857 0.002488
0.142857 0.003731
0.173913 0.004975
0.200000 0.006219
0.235294 0.007463
0.247788 0.008706
0.250000 0.009950
0.280000 0.011194
0.285714 0.012438
0.300000 0.013682
0.307692 0.014925
0.307692 0.016169
0.315789 0.017413
0.320000 0.018657
0.343949 0.019900
0.350000 0.021144
0.352941 0.022388
0.358209 0.023632
0.360656 0.024876
0.365079 0.026119
0.384615 0.027363
0.390244 0.028607
0.400000 0.029851
0.400000 0.031095
0.400000 0.032338
0.400000 0.033582
0.400000 0.034826
0.410959 0.036070
0.413793 0.037313
0.419355 0.038557
0.421053 0.039801
0.424242 0.041045
0.426230 0.042289
0.437956 0.043532
0.444444 0.044776
0.444444 0.046020
0.448980 0.047264
0.454545 0.048507
0.454545 0.049751
0.457143 0.050995
0.459770 0.052239
0.466667 0.053483
0.470588 0.054726
0.476190 0.055970
0.476190 0.057214
0.480000 0.058458
0.482759 0.059701
0.482759 0.060945
0.484848 0.062189
0.500000 0.063433
0.500000 0.064677
0.500000 0.065920
0.500000 0.067164
0.500000 0.068408
0.500000 0.069652
0.500000 0.070896
0.500000 0.072139
0.500000 0.073383
0.517647 0.074627
0.520548 0.075871
0.526316 0.077114
0.533333 0.078358
0.533333 0.079602
0.534884 0.080846
0.538462 0.082090
0.545455 0.083333
0.545455 0.084577
0.545455 0.085821
0.550000 0.087065
0.550725 0.088308
0.551724 0.089552
0.551724 0.090796
0.555556 0.092040
0.560000 0.093284
0.560000 0.094527
0.568421 0.095771
0.571429 0.097015
0.571429 0.098259
0.571429 0.099502
0.576271 0.100746
0.585366 0.101990
0.588235 0.103234
0.588235 0.104478
0.594595 0.105721
0.597403 0.106965
0.600000 0.108209
0.600000 0.109453
0.600000 0.110697
0.600000 0.111940
0.600000 0.113184
0.600000 0.114428
0.601942 0.115672
0.602740 0.116915
0.606061 0.118159
0.608696 0.119403
0.612245 0.120647
0.615385 0.121891
0.615385 0.123134
0.615385 0.124378
0.615385 0.125622
0.615385 0.126866
0.617284 0.128109
0.619048 0.129353
0.619048 0.130597
0.620690 0.131841
0.620690 0.133085
0.620690 0.134328
0.620690 0.135572
0.625000 0.136816
0.625000 0.138060
0.625000 0.139303
0.628931 0.140547
0.630137 0.141791
0.634615 0.143035
0.635417 0.144279
0.639456 0.145522
0.640000 0.146766
0.641509 0.148010
0.642857 0.149254
0.642857 0.150498
0.642857 0.151741
0.645161 0.152985
0.645161 0.154229
0.647059 0.155473
0.650602 0.156716
0.652174 0.157960
0.655738 0.159204
0.662338 0.160448
0.666667 0.161692
0.666667 0.162935
0.666667 0.164179
0.666667 0.165423
0.666667 0.166667
0.666667 0.167910
0.666667 0.169154
0.666667 0.170398
0.666667 0.171642
0.666667 0.172886
0.666667 0.174129
0.666667 0.175373
0.666667 0.176617
0.666667 0.177861
0.666667 0.179104
0.666667 0.180348
0.666667 0.181592
0.677966 0.182836
0.680851 0.184080
0.682353 0.185323
0.682927 0.186567
0.682927 0.187811
0.685714 0.189055
0.685714 0.190299
0.687500 0.191542
0.687500 0.192786
0.689655 0.194030
0.689655 0.195274
0.689655 0.196517
0.692308 0.197761
0.692308 0.199005
0.692308 0.200249
0.693333 0.201493
0.695652 0.202736
0.695652 0.203980
0.696970 0.205224
0.700000 0.206468
0.700000 0.207711
0.700000 0.208955
0.703704 0.210199
0.704545 0.211443
0.705882 0.212687
0.705882 0.213930
0.705882 0.215174
0.705882 0.216418
0.709677 0.217662
0.714286 0.218905
0.714286 0.220149
0.714286 0.221393
0.716418 0.222637
0.720000 0.223881
0.720000 0.225124
0.720000 0.226368
0.720000 0.227612
0.723404 0.228856
0.725490 0.230100
0.727273 0.231343
0.727273 0.232587
0.727273 0.233831
0.727273 0.235075
0.727273 0.236318
0.729412 0.237562
0.731707 0.238806
0.733333 0.240050
0.733333 0.241294
0.733333 0.242537
0.733333 0.243781
0.736842 0.245025
0.736842 0.246269
0.738462 0.247512
0.740741 0.248756
0.740741 0.250000
0.740741 0.251244
0.741573 0.252488
0.742857 0.253731
0.742857 0.254975
0.742857 0.256219
0.742857 0.257463
0.742857 0.258706
0.742857 0.259950
0.742857 0.261194
0.744186 0.262438
0.744186 0.263682
0.750000 0.264925
0.750000 0.266169
0.750000 0.267413
0.750000 0.268657
0.750000 0.269900
0.756098 0.271144
0.758621 0.272388
0.758621 0.273632
0.758621 0.274876
0.761905 0.276119
0.761905 0.277363
0.761905 0.278607
0.763636 0.279851
0.764706 0.281095
0.764706 0.282338
0.764706 0.283582
0.764706 0.284826
0.764706 0.286070
0.765957 0.287313
0.765957 0.288557
0.767932 0.289801
0.769231 0.291045
0.769231 0.292289
0.769231 0.293532
0.769231 0.294776
0.769231 0.296020
0.771930 0.297264
0.772487 0.298507
0.772727 0.299751
0.774194 0.300995
0.774194 0.302239
0.774194 0.303483
0.774194 0.304726
0.776119 0.305970
0.777778 0.307214
0.777778 0.308458
0.777778 0.309701
0.777778 0.310945
0.778947 0.312189
0.780488 0.313433
0.780488 0.314677
0.782609 0.315920
0.784314 0.317164
0.785047 0.318408
0.785714 0.319652
0.785714 0.320896
0.785714 0.322139
0.787879 0.323383
0.789474 0.324627
0.790698 0.325871
0.793103 0.327114
0.793651 0.328358
0.795181 0.329602
0.800000 0.330846
0.800000 0.332090
0.800000 0.333333
0.800000 0.334577
0.800000 0.335821
0.800000 0.337065
0.800000 0.338308
0.800000 0.339552
0.800000 0.340796
0.800000 0.342040
0.800000 0.343284
0.800000 0.344527
0.800000 0.345771
0.800000 0.347015
0.806452 0.348259
0.808511 0.349502
0.809524 0.350746
0.809524 0.351990
0.809917 0.353234
0.810811 0.354478
0.810811 0.355721
0.812500 0.356965
0.812500 0.358209
0.812500 0.359453
0.812500 0.360697
0.812500 0.361940
0.812500 0.363184
0.814815 0.364428
0.814815 0.365672
0.814815 0.366915
0.814815 0.368159
0.816901 0.369403
0.818182 0.370647
0.818966 0.371891
0.820513 0.373134
0.821429 0.374378
0.823529 0.375622
0.823529 0.376866
0.823529 0.378109
0.823529 0.379353
0.823529 0.380597
0.823529 0.381841
0.823529 0.383085
0.823529 0.384328
0.823529 0.385572
0.823529 0.386816
0.823529 0.388060
0.823529 0.389303
0.823529 0.390547
0.826087 0.391791
0.827586 0.393035
0.827586 0.394279
0.829268 0.395522
0.829268 0.396766
0.829268 0.398010
0.833333 0.399254
0.833333 0.400498
0.833333 0.401741
0.833333 0.402985
0.833333 0.404229
0.833333 0.405473
0.833333 0.406716
0.833333 0.407960
0.837209 0.409204
0.837607 0.410448
0.838710 0.411692
0.842105 0.412935
0.842105 0.414179
0.842105 0.415423
0.842105 0.416667
0.842105 0.417910
0.842105 0.419154
0.842105 0.420398
0.842105 0.421642
0.842105 0.422886
0.844444 0.424129
0.845070 0.425373
0.845361 0.426617
0.846154 0.427861
0.846154 0.429104
0.848485 0.430348
0.848485 0.431592
0.850000 0.432836
0.850000 0.434080
0.850000 0.435323
0.850000 0.436567
0.850000 0.437811
0.850000 0.439055
0.850000 0.440299
0.851064 0.441542
0.851064 0.442786
0.851852 0.444030
0.852459 0.445274
0.853333 0.446517
0.854701 0.447761
0.857143 0.449005
0.857143 0.450249
0.857143 0.451493
0.857143 0.452736
0.857143 0.453980
0.857143 0.455224
0.857143 0.456468
0.857143 0.457711
0.857143 0.458955
0.857143 0.460199
0.857143 0.461443
0.857143 0.462687
0.857143 0.463930
0.857143 0.465174
0.857143 0.466418
0.857143 0.467662
0.860215 0.468905
0.862069 0.470149
0.862745 0.471393
0.863636 0.472637
0.864865 0.473881
0.864865 0.475124
0.864865 0.476368
0.864865 0.477612
0.864865 0.478856
0.864865 0.480100
0.864865 0.481343
0.866667 0.482587
0.866667 0.483831
0.866667 0.485075
0.867925 0.486318
0.868687 0.487562
0.869565 0.488806
0.869565 0.490050
0.870588 0.491294
0.870968 0.492537
0.871795 0.493781
0.871795 0.495025
0.871795 0.496269
0.871795 0.497512
0.871795 0.498756
0.871795 0.500000
0.871795 0.501244
0.871795 0.502488
0.875000 0.503731
0.875000 0.504975
0.875000 0.506219
0.875000 0.507463
0.875000 0.508706
0.875000 0.509950
0.875000 0.511194
0.878049 0.512438
0.878049 0.513682
0.878049 0.514925
0.878049 0.516169
0.878049 0.517413
0.878049 0.518657
0.878049 0.519900
0.878049 0.521144
0.878049 0.522388
0.880000 0.523632
0.881356 0.524876
