f1 cdf
0 0
0.000000 0.001244
0.000000 0.002488
0.000000 0.003731
0.000000 0.004975
0.000000 0.006219
0.080000 0.007463
0.090909 0.008706
0.200000 0.009950
0.222222 0.011194
0.226415 0.012438
0.244898 0.013682
0.247934 0.014925
0.250000 0.016169
0.266667 0.017413
0.270270 0.018657
0.300000 0.019900
0.307692 0.021144
0.320000 0.022388
0.333333 0.023632
0.333333 0.024876
0.333333 0.026119
0.333333 0.027363
0.335766 0.028607
0.337838 0.029851
0.344828 0.031095
0.352941 0.032338
0.357143 0.033582
0.358209 0.034826
0.363636 0.036070
0.363636 0.037313
0.370370 0.038557
0.375000 0.039801
0.384615 0.041045
0.388889 0.042289
0.394366 0.043532
0.400000 0.044776
0.400000 0.046020
0.400000 0.047264
0.406250 0.048507
0.409091 0.049751
0.410256 0.050995
0.413793 0.052239
0.416107 0.053483
0.416667 0.054726
0.424779 0.055970
0.426230 0.057214
0.428571 0.058458
0.428571 0.059701
0.434783 0.060945
0.444444 0.062189
0.444444 0.063433
0.461538 0.064677
0.469136 0.065920
0.470588 0.067164
0.473684 0.068408
0.474227 0.069652
0.480000 0.070896
0.493827 0.072139
0.500000 0.073383
0.500000 0.074627
0.500000 0.075871
0.500000 0.077114
0.500000 0.078358
0.506667 0.079602
0.507463 0.080846
0.511905 0.082090
0.512821 0.083333
0.521739 0.084577
0.526316 0.085821
0.527607 0.087065
0.533333 0.088308
0.533333 0.089552
0.538462 0.090796
0.538462 0.092040
0.543478 0.093284
0.545455 0.094527
0.545455 0.095771
0.545455 0.097015
0.545455 0.098259
0.545455 0.099502
0.550000 0.100746
0.554217 0.101990
0.555556 0.103234
0.555556 0.104478
0.555556 0.105721
0.555556 0.106965
0.560000 0.108209
0.562500 0.109453
0.562500 0.110697
0.564103 0.111940
0.571429 0.113184
0.571429 0.114428
0.571429 0.115672
0.571429 0.116915
0.571429 0.118159
0.571429 0.119403
0.577778 0.120647
0.578947 0.121891
0.580645 0.123134
0.580645 0.124378
0.581818 0.125622
0.584270 0.126866
0.584615 0.128109
0.584795 0.129353
0.588235 0.130597
0.592593 0.131841
0.597701 0.133085
0.600000 0.134328
0.600000 0.135572
0.600000 0.136816
0.600000 0.138060
0.600000 0.139303
0.603015 0.140547
0.604651 0.141791
0.604651 0.143035
0.606061 0.144279
0.606061 0.145522
0.610169 0.146766
0.615385 0.148010
0.620690 0.149254
0.620690 0.150498
0.620690 0.151741
0.620690 0.152985
0.620690 0.154229
0.620690 0.155473
0.625000 0.156716
0.625000 0.157960
0.626866 0.159204
0.628571 0.160448
0.630542 0.161692
0.631579 0.162935
0.631579 0.164179
0.632258 0.165423
0.636364 0.166667
0.636364 0.167910
0.640000 0.169154
0.641509 0.170398
0.645161 0.171642
0.645161 0.172886
0.645161 0.174129
0.645161 0.175373
0.645161 0.176617
0.647059 0.177861
0.647059 0.179104
0.648649 0.180348
0.649123 0.181592
0.650000 0.182836
0.652174 0.184080
0.652174 0.185323
0.654545 0.186567
0.654545 0.187811
0.655738 0.189055
0.657143 0.190299
0.666667 0.191542
0.666667 0.192786
0.666667 0.194030
0.666667 0.195274
0.666667 0.196517
0.666667 0.197761
0.666667 0.199005
0.666667 0.200249
0.666667 0.201493
0.666667 0.202736
0.666667 0.203980
0.666667 0.205224
0.666667 0.206468
0.666667 0.207711
0.666667 0.208955
0.666667 0.210199
0.680000 0.211443
0.684211 0.212687
0.685714 0.213930
0.686567 0.215174
0.687500 0.216418
0.687500 0.217662
0.687500 0.218905
0.688889 0.220149
0.689655 0.221393
0.692308 0.222637
0.695652 0.223881
0.695652 0.225124
0.696629 0.226368
0.698413 0.227612
0.700000 0.228856
0.700000 0.230100
0.700000 0.231343
0.700000 0.232587
0.700000 0.233831
0.700000 0.235075
0.700000 0.236318
0.702703 0.237562
0.705882 0.238806
0.705882 0.240050
0.705882 0.241294
0.705882 0.242537
0.705882 0.243781
0.708333 0.245025
0.709677 0.246269
0.709677 0.247512
0.709677 0.248756
0.711111 0.250000
0.714286 0.251244
0.714286 0.252488
0.714286 0.253731
0.714286 0.254975
0.714286 0.256219
0.714286 0.257463
0.714286 0.258706
0.716418 0.259950
0.717949 0.261194
0.718750 0.262438
0.727273 0.263682
0.727273 0.264925
0.727273 0.266169
0.731707 0.267413
0.731707 0.268657
0.731707 0.269900
0.733032 0.271144
0.733333 0.272388
0.733333 0.273632
0.733333 0.274876
0.733333 0.276119
0.733333 0.277363
0.733333 0.278607
0.736842 0.279851
0.736842 0.281095
0.736842 0.282338
0.736842 0.283582
0.740741 0.284826
0.740741 0.286070
0.740741 0.287313
0.740741 0.288557
0.740741 0.289801
0.742857 0.291045
0.742857 0.292289
0.742857 0.293532
0.743590 0.294776
0.750000 0.296020
0.750000 0.297264
0.750000 0.298507
0.750000 0.299751
0.750000 0.300995
0.750000 0.302239
0.750000 0.303483
0.750000 0.304726
0.750000 0.305970
0.753623 0.307214
0.753623 0.308458
0.756098 0.309701
0.756757 0.310945
0.758621 0.312189
0.758621 0.313433
0.758621 0.314677
0.758621 0.315920
0.758621 0.317164
0.761905 0.318408
0.761905 0.319652
0.764706 0.320896
0.764706 0.322139
0.764706 0.323383
0.764706 0.324627
0.766667 0.325871
0.769231 0.327114
0.769231 0.328358
0.769231 0.329602
0.769231 0.330846
0.769231 0.332090
0.769231 0.333333
0.771930 0.334577
0.774194 0.335821
0.777778 0.337065
0.777778 0.338308
0.777778 0.339552
0.777778 0.340796
0.777778 0.342040
0.780488 0.343284
0.782609 0.344527
0.782609 0.345771
0.782609 0.347015
0.782609 0.348259
0.785714 0.349502
0.785714 0.350746
0.787879 0.351990
0.787879 0.353234
0.787879 0.354478
0.789474 0.355721
0.789474 0.356965
0.790698 0.358209
0.793103 0.359453
0.793651 0.360697
0.796020 0.361940
0.800000 0.363184
0.800000 0.364428
0.800000 0.365672
0.800000 0.366915
0.800000 0.368159
0.800000 0.369403
0.800000 0.370647
0.800000 0.371891
0.800000 0.373134
0.800000 0.374378
0.800000 0.375622
0.800000 0.376866
0.800000 0.378109
0.800000 0.379353
0.800000 0.380597
0.800000 0.381841
0.800000 0.383085
0.800000 0.384328
0.800000 0.385572
0.803738 0.386816
0.806202 0.388060
0.807018 0.389303
0.808511 0.390547
0.808511 0.391791
0.808511 0.393035
0.809524 0.394279
0.810127 0.395522
0.810811 0.396766
0.810811 0.398010
0.812500 0.399254
0.812500 0.400498
0.812500 0.401741
0.812500 0.402985
0.812500 0.404229
0.812500 0.405473
0.812500 0.406716
0.812500 0.407960
0.814815 0.409204
0.814815 0.410448
0.816327 0.411692
0.816327 0.412935
0.816327 0.414179
0.817391 0.415423
0.818182 0.416667
0.818182 0.417910
0.818182 0.419154
0.818182 0.420398
0.818182 0.421642
0.818182 0.422886
0.820513 0.424129
0.820513 0.425373
0.820513 0.426617
0.821429 0.427861
0.823529 0.429104
0.823529 0.430348
0.823529 0.431592
0.823529 0.432836
0.823529 0.434080
0.823529 0.435323
0.823529 0.436567
0.823529 0.437811
0.823529 0.439055
0.823529 0.440299
0.823529 0.441542
0.823529 0.442786
0.825397 0.444030
0.827586 0.445274
0.827586 0.446517
0.829268 0.447761
0.829268 0.449005
0.829268 0.450249
0.829268 0.451493
0.829268 0.452736
0.829268 0.453980
0.830769 0.455224
0.833333 0.456468
0.833333 0.457711
0.833333 0.458955
0.833333 0.460199
0.833333 0.461443
0.833333 0.462687
0.833333 0.463930
0.833333 0.465174
0.833333 0.466418
0.833333 0.467662
0.833333 0.468905
0.833333 0.470149
0.836364 0.471393
0.836735 0.472637
0.837209 0.473881
0.837209 0.475124
0.837209 0.476368
0.838095 0.477612
0.838710 0.478856
0.838710 0.480100
0.839161 0.481343
0.840000 0.482587
0.842105 0.483831
0.842105 0.485075
0.842105 0.486318
0.842105 0.487562
0.842105 0.488806
0.842105 0.490050
0.842105 0.491294
0.842105 0.492537
0.843750 0.493781
0.844444 0.495025
0.844444 0.496269
0.844444 0.497512
0.844444 0.498756
0.845070 0.500000
0.846154 0.501244
0.847059 0.502488
0.848485 0.503731
0.848485 0.504975
0.848485 0.506219
0.850000 0.507463
0.850000 0.508706
0.850000 0.509950
0.850000 0.511194
0.850000 0.512438
0.850000 0.513682
0.850000 0.514925
0.850000 0.516169
0.850000 0.517413
0.850000 0.518657
0.850000 0.519900
0.851852 0.521144
0.851852 0.522388
0.852941 0.523632
0.857143 0.524876
