f1 cdf
0 0
0.000000 0.001244
0.000000 0.002488
0.000000 0.003731
0.000000 0.004975
0.000000 0.006219
0.000000 0.007463
0.000000 0.008706
0.000000 0.009950
0.000000 0.011194
0.000000 0.012438
0.000000 0.013682
0.000000 0.014925
0.000000 0.016169
0.000000 0.017413
0.000000 0.018657
0.000000 0.019900
0.000000 0.021144
0.000000 0.022388
0.000000 0.023632
0.000000 0.024876
0.000000 0.026119
0.000000 0.027363
0.000000 0.028607
0.000000 0.029851
0.000000 0.031095
0.000000 0.032338
0.000000 0.033582
0.000000 0.034826
0.000000 0.036070
0.000000 0.037313
0.000000 0.038557
0.000000 0.039801
0.000000 0.041045
0.000000 0.042289
0.000000 0.043532
0.000000 0.044776
0.000000 0.046020
0.000000 0.047264
0.000000 0.048507
0.000000 0.049751
0.000000 0.050995
0.000000 0.052239
0.000000 0.053483
0.000000 0.054726
0.000000 0.055970
0.000000 0.057214
0.029851 0.058458
0.043796 0.059701
0.052632 0.060945
0.064516 0.062189
0.111111 0.063433
0.115385 0.064677
0.121212 0.065920
0.123457 0.067164
0.125000 0.068408
0.139535 0.069652
0.142857 0.070896
0.142857 0.072139
0.145455 0.073383
0.146341 0.074627
0.146893 0.075871
0.150000 0.077114
0.155039 0.078358
0.155556 0.079602
0.155689 0.080846
0.156250 0.082090
0.157895 0.083333
0.157895 0.084577
0.157895 0.085821
0.161616 0.087065
0.162162 0.088308
0.166667 0.089552
0.170732 0.090796
0.171429 0.092040
0.171429 0.093284
0.185185 0.094527
0.186047 0.095771
0.193548 0.097015
0.200000 0.098259
0.205128 0.099502
0.206897 0.100746
0.206897 0.101990
0.208333 0.103234
0.210526 0.104478
0.216216 0.105721
0.217391 0.106965
0.222222 0.108209
0.228571 0.109453
0.230769 0.110697
0.236220 0.111940
0.238095 0.113184
0.238095 0.114428
0.238095 0.115672
0.238095 0.116915
0.240000 0.118159
0.247788 0.119403
0.250000 0.120647
0.250000 0.121891
0.250000 0.123134
0.255319 0.124378
0.256410 0.125622
0.256410 0.126866
0.256410 0.128109
0.256410 0.129353
0.256410 0.130597
0.258065 0.131841
0.258065 0.133085
0.264151 0.134328
0.266667 0.135572
0.266667 0.136816
0.266667 0.138060
0.266667 0.139303
0.270270 0.140547
0.270270 0.141791
0.272727 0.143035
0.279070 0.144279
0.280000 0.145522
0.282051 0.146766
0.285714 0.148010
0.285714 0.149254
0.285714 0.150498
0.285714 0.151741
0.285714 0.152985
0.285714 0.154229
0.291667 0.155473
0.292135 0.156716
0.296296 0.157960
0.296296 0.159204
0.297872 0.160448
0.300000 0.161692
0.300000 0.162935
0.300000 0.164179
0.300000 0.165423
0.300885 0.166667
0.301370 0.167910
0.301887 0.169154
0.304348 0.170398
0.307692 0.171642
0.310345 0.172886
0.312500 0.174129
0.315789 0.175373
0.315789 0.176617
0.318182 0.177861
0.320000 0.179104
0.320000 0.180348
0.321429 0.181592
0.322581 0.182836
0.322581 0.184080
0.322581 0.185323
0.325581 0.186567
0.325581 0.187811
0.333333 0.189055
0.333333 0.190299
0.333333 0.191542
0.340426 0.192786
0.341463 0.194030
0.341463 0.195274
0.342857 0.196517
0.342857 0.197761
0.343434 0.199005
0.344828 0.200249
0.344828 0.201493
0.350000 0.202736
0.350877 0.203980
0.352941 0.205224
0.352941 0.206468
0.357143 0.207711
0.358974 0.208955
0.363636 0.210199
0.363636 0.211443
0.368421 0.212687
0.370370 0.213930
0.370370 0.215174
0.370370 0.216418
0.370861 0.217662
0.372881 0.218905
0.375000 0.220149
0.375000 0.221393
0.375000 0.222637
0.377358 0.223881
0.377358 0.225124
0.378378 0.226368
0.378698 0.227612
0.378947 0.228856
0.379310 0.230100
0.380952 0.231343
0.382979 0.232587
0.383562 0.233831
0.384615 0.235075
0.385185 0.236318
0.400000 0.237562
0.400000 0.238806
0.400000 0.240050
0.400000 0.241294
0.400000 0.242537
0.408163 0.243781
0.411765 0.245025
0.412698 0.246269
0.413793 0.247512
0.418605 0.248756
0.421053 0.250000
0.424242 0.251244
0.428571 0.252488
0.428571 0.253731
0.437500 0.254975
0.437500 0.256219
0.437500 0.257463
0.444444 0.258706
0.444444 0.259950
0.444444 0.261194
0.444444 0.262438
0.448276 0.263682
0.448980 0.264925
0.451613 0.266169
0.451613 0.267413
0.454545 0.268657
0.454545 0.269900
0.457143 0.271144
0.458333 0.272388
0.461538 0.273632
0.461538 0.274876
0.461538 0.276119
0.461538 0.277363
0.461538 0.278607
0.463415 0.279851
0.465116 0.281095
0.470588 0.282338
0.472222 0.283582
0.473684 0.284826
0.474576 0.286070
0.476190 0.287313
0.476190 0.288557
0.476190 0.289801
0.476190 0.291045
0.478261 0.292289
0.478261 0.293532
0.482759 0.294776
0.486486 0.296020
0.487805 0.297264
0.487805 0.298507
0.487805 0.299751
0.487805 0.300995
0.488889 0.302239
0.488889 0.303483
0.489796 0.304726
0.489796 0.305970
0.491228 0.307214
0.495726 0.308458
0.500000 0.309701
0.500000 0.310945
0.500000 0.312189
0.500000 0.313433
0.500000 0.314677
0.500000 0.315920
0.500000 0.317164
0.500000 0.318408
0.500000 0.319652
0.500000 0.320896
0.500000 0.322139
0.500000 0.323383
0.500000 0.324627
0.505495 0.325871
0.507042 0.327114
0.508475 0.328358
0.511628 0.329602
0.511628 0.330846
0.511628 0.332090
0.512821 0.333333
0.516129 0.334577
0.518519 0.335821
0.521739 0.337065
0.521739 0.338308
0.523810 0.339552
0.523810 0.340796
0.526316 0.342040
0.526316 0.343284
0.528736 0.344527
0.529412 0.345771
0.529412 0.347015
0.533333 0.348259
0.533333 0.349502
0.533333 0.350746
0.533333 0.351990
0.536585 0.353234
0.538462 0.354478
0.538462 0.355721
0.545455 0.356965
0.545455 0.358209
0.545455 0.359453
0.545455 0.360697
0.545455 0.361940
0.545455 0.363184
0.545455 0.364428
0.545455 0.365672
0.550000 0.366915
0.550000 0.368159
0.550000 0.369403
0.551724 0.370647
0.555556 0.371891
0.555556 0.373134
0.555556 0.374378
0.555556 0.375622
0.555556 0.376866
0.560000 0.378109
0.560000 0.379353
0.562500 0.380597
0.562500 0.381841
0.566038 0.383085
0.566038 0.384328
0.571429 0.385572
0.571429 0.386816
0.571429 0.388060
0.571429 0.389303
0.571429 0.390547
0.571429 0.391791
0.576271 0.393035
0.577778 0.394279
0.578947 0.395522
0.578947 0.396766
0.580645 0.398010
0.580645 0.399254
0.580645 0.400498
0.583333 0.401741
0.585366 0.402985
0.585366 0.404229
0.585366 0.405473
0.585366 0.406716
0.588235 0.407960
0.588235 0.409204
0.588235 0.410448
0.588235 0.411692
0.589474 0.412935
0.594595 0.414179
0.595745 0.415423
0.595745 0.416667
0.600000 0.417910
0.600000 0.419154
0.600000 0.420398
0.600000 0.421642
0.600000 0.422886
0.606061 0.424129
0.606061 0.425373
0.606061 0.426617
0.608696 0.427861
0.608696 0.429104
0.608696 0.430348
0.610169 0.431592
0.611111 0.432836
0.611111 0.434080
0.611111 0.435323
0.619718 0.436567
0.620690 0.437811
0.622222 0.439055
0.622951 0.440299
0.625000 0.441542
0.625000 0.442786
0.627907 0.444030
0.631579 0.445274
0.631579 0.446517
0.631579 0.447761
0.634146 0.449005
0.636364 0.450249
0.636364 0.451493
0.638298 0.452736
0.638889 0.453980
0.641860 0.455224
0.642857 0.456468
0.645161 0.457711
0.645161 0.458955
0.647059 0.460199
0.647059 0.461443
0.647059 0.462687
0.648649 0.463930
0.648649 0.465174
0.650000 0.466418
0.650000 0.467662
0.651163 0.468905
0.651163 0.470149
0.651163 0.471393
0.651163 0.472637
0.652174 0.473881
0.655172 0.475124
0.658824 0.476368
0.666667 0.477612
0.666667 0.478856
0.666667 0.480100
0.666667 0.481343
0.666667 0.482587
0.666667 0.483831
0.666667 0.485075
0.666667 0.486318
0.666667 0.487562
0.666667 0.488806
0.666667 0.490050
0.666667 0.491294
0.666667 0.492537
0.676471 0.493781
0.678571 0.495025
0.680851 0.496269
0.681319 0.497512
0.681818 0.498756
0.681818 0.500000
0.681818 0.501244
0.681818 0.502488
0.682927 0.503731
0.682927 0.504975
0.682927 0.506219
0.684932 0.507463
0.685714 0.508706
0.689362 0.509950
0.695652 0.511194
0.695652 0.512438
0.695652 0.513682
0.695652 0.514925
0.697674 0.516169
0.697674 0.517413
0.698113 0.518657
0.700000 0.519900
0.700000 0.521144
0.702703 0.522388
0.702703 0.523632
0.708333 0.524876
