f1 cdf
0 0
0.000000 0.001244
0.142857 0.002488
0.142857 0.003731
0.153846 0.004975
0.206897 0.006219
0.225352 0.007463
0.227273 0.008706
0.235294 0.009950
0.236842 0.011194
0.243902 0.012438
0.266667 0.013682
0.292683 0.014925
0.317757 0.016169
0.320000 0.017413
0.333333 0.018657
0.347826 0.019900
0.350000 0.021144
0.358209 0.022388
0.363636 0.023632
0.363636 0.024876
0.366412 0.026119
0.384615 0.027363
0.387097 0.028607
0.388060 0.029851
0.400000 0.031095
0.400000 0.032338
0.400000 0.033582
0.416667 0.034826
0.421053 0.036070
0.426230 0.037313
0.428571 0.038557
0.434783 0.039801
0.444444 0.041045
0.444444 0.042289
0.450980 0.043532
0.454545 0.044776
0.461538 0.046020
0.461538 0.047264
0.469136 0.048507
0.470588 0.049751
0.489362 0.050995
0.493506 0.052239
0.500000 0.053483
0.500000 0.054726
0.500000 0.055970
0.500000 0.057214
0.514286 0.058458
0.517647 0.059701
0.518519 0.060945
0.521739 0.062189
0.521739 0.063433
0.526316 0.064677
0.526316 0.065920
0.533333 0.067164
0.533333 0.068408
0.533333 0.069652
0.534884 0.070896
0.540541 0.072139
0.543478 0.073383
0.545455 0.074627
0.545455 0.075871
0.545455 0.077114
0.550000 0.078358
0.550000 0.079602
0.551724 0.080846
0.551724 0.082090
0.551724 0.083333
0.551724 0.084577
0.555556 0.085821
0.555556 0.087065
0.557377 0.088308
0.560000 0.089552
0.560000 0.090796
0.562500 0.092040
0.562500 0.093284
0.567568 0.094527
0.571429 0.095771
0.571429 0.097015
0.571429 0.098259
0.571429 0.099502
0.571429 0.100746
0.581818 0.101990
0.581818 0.103234
0.584615 0.104478
0.585366 0.105721
0.588235 0.106965
0.588235 0.108209
0.588235 0.109453
0.591549 0.110697
0.591549 0.111940
0.592593 0.113184
0.594595 0.114428
0.600000 0.115672
0.600000 0.116915
0.601942 0.118159
0.603015 0.119403
0.606061 0.120647
0.606061 0.121891
0.606061 0.123134
0.608696 0.124378
0.611111 0.125622
0.617284 0.126866
0.620690 0.128109
0.620690 0.129353
0.620690 0.130597
0.625000 0.131841
0.628571 0.133085
0.631068 0.134328
0.632258 0.135572
0.640000 0.136816
0.641509 0.138060
0.642857 0.139303
0.642857 0.140547
0.642857 0.141791
0.645161 0.143035
0.645161 0.144279
0.645161 0.145522
0.647059 0.146766
0.650000 0.148010
0.654545 0.149254
0.656716 0.150498
0.666667 0.151741
0.666667 0.152985
0.666667 0.154229
0.666667 0.155473
0.666667 0.156716
0.666667 0.157960
0.666667 0.159204
0.666667 0.160448
0.666667 0.161692
0.666667 0.162935
0.666667 0.164179
0.666667 0.165423
0.666667 0.166667
0.666667 0.167910
0.666667 0.169154
0.672727 0.170398
0.673469 0.171642
0.680000 0.172886
0.680851 0.174129
0.684211 0.175373
0.684932 0.176617
0.685714 0.177861
0.686131 0.179104
0.687500 0.180348
0.687500 0.181592
0.687500 0.182836
0.688525 0.184080
0.688889 0.185323
0.689655 0.186567
0.692308 0.187811
0.692308 0.189055
0.692308 0.190299
0.692913 0.191542
0.693878 0.192786
0.695652 0.194030
0.695652 0.195274
0.700000 0.196517
0.700000 0.197761
0.704545 0.199005
0.705882 0.200249
0.705882 0.201493
0.705882 0.202736
0.705882 0.203980
0.709677 0.205224
0.709677 0.206468
0.714286 0.207711
0.714286 0.208955
0.714286 0.210199
0.714286 0.211443
0.714286 0.212687
0.714286 0.213930
0.714286 0.215174
0.718750 0.216418
0.724138 0.217662
0.727273 0.218905
0.727273 0.220149
0.727273 0.221393
0.727273 0.222637
0.727273 0.223881
0.729730 0.225124
0.731707 0.226368
0.733032 0.227612
0.733333 0.228856
0.733333 0.230100
0.733333 0.231343
0.736842 0.232587
0.736842 0.233831
0.736842 0.235075
0.740741 0.236318
0.740741 0.237562
0.740741 0.238806
0.741573 0.240050
0.742857 0.241294
0.742857 0.242537
0.742857 0.243781
0.743590 0.245025
0.744186 0.246269
0.745098 0.247512
0.750000 0.248756
0.750000 0.250000
0.750000 0.251244
0.752475 0.252488
0.753623 0.253731
0.756098 0.254975
0.758621 0.256219
0.758621 0.257463
0.758621 0.258706
0.759494 0.259950
0.761905 0.261194
0.764706 0.262438
0.764706 0.263682
0.769231 0.264925
0.769231 0.266169
0.774194 0.267413
0.774194 0.268657
0.774194 0.269900
0.775510 0.271144
0.777778 0.272388
0.777778 0.273632
0.777778 0.274876
0.777778 0.276119
0.777778 0.277363
0.777778 0.278607
0.780488 0.279851
0.782609 0.281095
0.782609 0.282338
0.785714 0.283582
0.785714 0.284826
0.785714 0.286070
0.786517 0.287313
0.788732 0.288557
0.788991 0.289801
0.791667 0.291045
0.792453 0.292289
0.793103 0.293532
0.793651 0.294776
0.800000 0.296020
0.800000 0.297264
0.800000 0.298507
0.800000 0.299751
0.800000 0.300995
0.800000 0.302239
0.800000 0.303483
0.800000 0.304726
0.800000 0.305970
0.800000 0.307214
0.800000 0.308458
0.800000 0.309701
0.800000 0.310945
0.800000 0.312189
0.800000 0.313433
0.800000 0.314677
0.800000 0.315920
0.800000 0.317164
0.805195 0.318408
0.807018 0.319652
0.807018 0.320896
0.809917 0.322139
0.810127 0.323383
0.810811 0.324627
0.810811 0.325871
0.810811 0.327114
0.812500 0.328358
0.812500 0.329602
0.812500 0.330846
0.812500 0.332090
0.812500 0.333333
0.814815 0.334577
0.814815 0.335821
0.815534 0.337065
0.818182 0.338308
0.820513 0.339552
0.820513 0.340796
0.820513 0.342040
0.820513 0.343284
0.820513 0.344527
0.820513 0.345771
0.823529 0.347015
0.823529 0.348259
0.823529 0.349502
0.823529 0.350746
0.823529 0.351990
0.823529 0.353234
0.823529 0.354478
0.826087 0.355721
0.826087 0.356965
0.827586 0.358209
0.827586 0.359453
0.828283 0.360697
0.829268 0.361940
0.829268 0.363184
0.830769 0.364428
0.833333 0.365672
0.833333 0.366915
0.833333 0.368159
0.833333 0.369403
0.833333 0.370647
0.833333 0.371891
0.833333 0.373134
0.836364 0.374378
0.837209 0.375622
0.837209 0.376866
0.837209 0.378109
0.837607 0.379353
0.838710 0.380597
0.838710 0.381841
0.840000 0.383085
0.842105 0.384328
0.842105 0.385572
0.842105 0.386816
0.842105 0.388060
0.842105 0.389303
0.842105 0.390547
0.842105 0.391791
0.842105 0.393035
0.842105 0.394279
0.842105 0.395522
0.842105 0.396766
0.844444 0.398010
0.845070 0.399254
0.846154 0.400498
0.848485 0.401741
0.848485 0.402985
0.850000 0.404229
0.850000 0.405473
0.850000 0.406716
0.851852 0.407960
0.852459 0.409204
0.857143 0.410448
0.857143 0.411692
0.857143 0.412935
0.857143 0.414179
0.857143 0.415423
0.857143 0.416667
0.857143 0.417910
0.857143 0.419154
0.857143 0.420398
0.857143 0.421642
0.857143 0.422886
0.857143 0.424129
0.857143 0.425373
0.857143 0.426617
0.857143 0.427861
0.857143 0.429104
0.857143 0.430348
0.859813 0.431592
0.861538 0.432836
0.862069 0.434080
0.862745 0.435323
0.863636 0.436567
0.863636 0.437811
0.863636 0.439055
0.863636 0.440299
0.864865 0.441542
0.864865 0.442786
0.864865 0.444030
0.864865 0.445274
0.864865 0.446517
0.865672 0.447761
0.866667 0.449005
0.867925 0.450249
0.869565 0.451493
0.869565 0.452736
0.869565 0.453980
0.870968 0.455224
0.871795 0.456468
0.871795 0.457711
0.871795 0.458955
0.871795 0.460199
0.871795 0.461443
0.871795 0.462687
0.871795 0.463930
0.872727 0.465174
0.873239 0.466418
0.873563 0.467662
0.875000 0.468905
0.875000 0.470149
0.875000 0.471393
0.875000 0.472637
0.875000 0.473881
0.878049 0.475124
0.878049 0.476368
0.878049 0.477612
0.878049 0.478856
0.878049 0.480100
0.878049 0.481343
0.878049 0.482587
0.878049 0.483831
0.880000 0.485075
0.880000 0.486318
0.880000 0.487562
0.881356 0.488806
0.882353 0.490050
0.882353 0.491294
0.882353 0.492537
0.883721 0.493781
0.883721 0.495025
0.883721 0.496269
0.884615 0.497512
0.884956 0.498756
0.885714 0.500000
0.885714 0.501244
0.886076 0.502488
0.888889 0.503731
0.888889 0.504975
0.888889 0.506219
0.888889 0.507463
0.888889 0.508706
0.888889 0.509950
0.888889 0.511194
0.888889 0.512438
0.888889 0.513682
0.888889 0.514925
0.888889 0.516169
0.888889 0.517413
0.888889 0.518657
0.893617 0.519900
0.893617 0.521144
0.894737 0.522388
0.894737 0.523632
0.894737 0.524876
