f1 cdf
0 0
0.000000 0.001244
0.000000 0.002488
0.000000 0.003731
0.000000 0.004975
0.000000 0.006219
0.000000 0.007463
0.000000 0.008706
0.000000 0.009950
0.000000 0.011194
0.000000 0.012438
0.051282 0.013682
0.066667 0.014925
0.080000 0.016169
0.125000 0.017413
0.153846 0.018657
0.161290 0.019900
0.166667 0.021144
0.166667 0.022388
0.176471 0.023632
0.176471 0.024876
0.187500 0.026119
0.196721 0.027363
0.200000 0.028607
0.227273 0.029851
0.244898 0.031095
0.246154 0.032338
0.250000 0.033582
0.256410 0.034826
0.260870 0.036070
0.271186 0.037313
0.285714 0.038557
0.285714 0.039801
0.291262 0.041045
0.297297 0.042289
0.299401 0.043532
0.300000 0.044776
0.307692 0.046020
0.307692 0.047264
0.307692 0.048507
0.307692 0.049751
0.309524 0.050995
0.322581 0.052239
0.324324 0.053483
0.330709 0.054726
0.333333 0.055970
0.333333 0.057214
0.333333 0.058458
0.344828 0.059701
0.347826 0.060945
0.347826 0.062189
0.350000 0.063433
0.350877 0.064677
0.357143 0.065920
0.360000 0.067164
0.362319 0.068408
0.363636 0.069652
0.363636 0.070896
0.363636 0.072139
0.390805 0.073383
0.391304 0.074627
0.392857 0.075871
0.395062 0.077114
0.400000 0.078358
0.400000 0.079602
0.400000 0.080846
0.400000 0.082090
0.409357 0.083333
0.411765 0.084577
0.413793 0.085821
0.416667 0.087065
0.416667 0.088308
0.421053 0.089552
0.421053 0.090796
0.421053 0.092040
0.434783 0.093284
0.434783 0.094527
0.437500 0.095771
0.439024 0.097015
0.444444 0.098259
0.451613 0.099502
0.453782 0.100746
0.456140 0.101990
0.456693 0.103234
0.461538 0.104478
0.461538 0.105721
0.461538 0.106965
0.466019 0.108209
0.470588 0.109453
0.470588 0.110697
0.474227 0.111940
0.478873 0.113184
0.480000 0.114428
0.481481 0.115672
0.488889 0.116915
0.489362 0.118159
0.493151 0.119403
0.493827 0.120647
0.496241 0.121891
0.500000 0.123134
0.500000 0.124378
0.500000 0.125622
0.500000 0.126866
0.500000 0.128109
0.500000 0.129353
0.500000 0.130597
0.506024 0.131841
0.512821 0.133085
0.512821 0.134328
0.512821 0.135572
0.512821 0.136816
0.514286 0.138060
0.516129 0.139303
0.521739 0.140547
0.523810 0.141791
0.526316 0.143035
0.533333 0.144279
0.533333 0.145522
0.536585 0.146766
0.538462 0.148010
0.538462 0.149254
0.540230 0.150498
0.544379 0.151741
0.545455 0.152985
0.551724 0.154229
0.551724 0.155473
0.555556 0.156716
0.560000 0.157960
0.560000 0.159204
0.560000 0.160448
0.562500 0.161692
0.568421 0.162935
0.568966 0.164179
0.571429 0.165423
0.571429 0.166667
0.571429 0.167910
0.571429 0.169154
0.571429 0.170398
0.580645 0.171642
0.583333 0.172886
0.584615 0.174129
0.585366 0.175373
0.588235 0.176617
0.588235 0.177861
0.588235 0.179104
0.589928 0.180348
0.591549 0.181592
0.592593 0.182836
0.594595 0.184080
0.595420 0.185323
0.600000 0.186567
0.600000 0.187811
0.600000 0.189055
0.600000 0.190299
0.600000 0.191542
0.600000 0.192786
0.602740 0.194030
0.606061 0.195274
0.606061 0.196517
0.608696 0.197761
0.615385 0.199005
0.615385 0.200249
0.620690 0.201493
0.620690 0.202736
0.620690 0.203980
0.625000 0.205224
0.625000 0.206468
0.625000 0.207711
0.627660 0.208955
0.628571 0.210199
0.628571 0.211443
0.629630 0.212687
0.631579 0.213930
0.631579 0.215174
0.633803 0.216418
0.634146 0.217662
0.636364 0.218905
0.638298 0.220149
0.640000 0.221393
0.642857 0.222637
0.642857 0.223881
0.642857 0.225124
0.644068 0.226368
0.645161 0.227612
0.647059 0.228856
0.649215 0.230100
0.650000 0.231343
0.656716 0.232587
0.666667 0.233831
0.666667 0.235075
0.666667 0.236318
0.666667 0.237562
0.666667 0.238806
0.666667 0.240050
0.666667 0.241294
0.666667 0.242537
0.666667 0.243781
0.666667 0.245025
0.666667 0.246269
0.666667 0.247512
0.666667 0.248756
0.666667 0.250000
0.666667 0.251244
0.673077 0.252488
0.675676 0.253731
0.680851 0.254975
0.688525 0.256219
0.689655 0.257463
0.689655 0.258706
0.690476 0.259950
0.692308 0.261194
0.695652 0.262438
0.695652 0.263682
0.697674 0.264925
0.697674 0.266169
0.698113 0.267413
0.698413 0.268657
0.700000 0.269900
0.700000 0.271144
0.704225 0.272388
0.704225 0.273632
0.705882 0.274876
0.705882 0.276119
0.705882 0.277363
0.708333 0.278607
0.709677 0.279851
0.709677 0.281095
0.709677 0.282338
0.711111 0.283582
0.711111 0.284826
0.714286 0.286070
0.714286 0.287313
0.714286 0.288557
0.714286 0.289801
0.714286 0.291045
0.714286 0.292289
0.716981 0.293532
0.716981 0.294776
0.724138 0.296020
0.727273 0.297264
0.727273 0.298507
0.727273 0.299751
0.727273 0.300995
0.731707 0.302239
0.733333 0.303483
0.733333 0.304726
0.733333 0.305970
0.733333 0.307214
0.734694 0.308458
0.736842 0.309701
0.736842 0.310945
0.736842 0.312189
0.740741 0.313433
0.740741 0.314677
0.742857 0.315920
0.742857 0.317164
0.742857 0.318408
0.742857 0.319652
0.743590 0.320896
0.744186 0.322139
0.745098 0.323383
0.745098 0.324627
0.750000 0.325871
0.750000 0.327114
0.759494 0.328358
0.759494 0.329602
0.764706 0.330846
0.764706 0.332090
0.764706 0.333333
0.765957 0.334577
0.769231 0.335821
0.769231 0.337065
0.769231 0.338308
0.769231 0.339552
0.769231 0.340796
0.771084 0.342040
0.774194 0.343284
0.777778 0.344527
0.777778 0.345771
0.777778 0.347015
0.777778 0.348259
0.782609 0.349502
0.782609 0.350746
0.785714 0.351990
0.785714 0.353234
0.785714 0.354478
0.785714 0.355721
0.786517 0.356965
0.786885 0.358209
0.788732 0.359453
0.789474 0.360697
0.789474 0.361940
0.790698 0.363184
0.791667 0.364428
0.793103 0.365672
0.793651 0.366915
0.800000 0.368159
0.800000 0.369403
0.800000 0.370647
0.800000 0.371891
0.800000 0.373134
0.800000 0.374378
0.800000 0.375622
0.800000 0.376866
0.800000 0.378109
0.801688 0.379353
0.803419 0.380597
0.804124 0.381841
0.805970 0.383085
0.807018 0.384328
0.807018 0.385572
0.810811 0.386816
0.810811 0.388060
0.810811 0.389303
0.810811 0.390547
0.810811 0.391791
0.810811 0.393035
0.812500 0.394279
0.812500 0.395522
0.812500 0.396766
0.813187 0.398010
0.814159 0.399254
0.814815 0.400498
0.814815 0.401741
0.814815 0.402985
0.815534 0.404229
0.820513 0.405473
0.820513 0.406716
0.820513 0.407960
0.820513 0.409204
0.820513 0.410448
0.821429 0.411692
0.821918 0.412935
0.823529 0.414179
0.823529 0.415423
0.823529 0.416667
0.823529 0.417910
0.823529 0.419154
0.823529 0.420398
0.823529 0.421642
0.826923 0.422886
0.829268 0.424129
0.829268 0.425373
0.830189 0.426617
0.830189 0.427861
0.833333 0.429104
0.833333 0.430348
0.833333 0.431592
0.833333 0.432836
0.833333 0.434080
0.835443 0.435323
0.837209 0.436567
0.837209 0.437811
0.837209 0.439055
0.837209 0.440299
0.837209 0.441542
0.842105 0.442786
0.842105 0.444030
0.842105 0.445274
0.842105 0.446517
0.842105 0.447761
0.842105 0.449005
0.842105 0.450249
0.842105 0.451493
0.844444 0.452736
0.844444 0.453980
0.846154 0.455224
0.846154 0.456468
0.848485 0.457711
0.850000 0.458955
0.850000 0.460199
0.850575 0.461443
0.851064 0.462687
0.852459 0.463930
0.857143 0.465174
0.857143 0.466418
0.857143 0.467662
0.857143 0.468905
0.857143 0.470149
0.857143 0.471393
0.857143 0.472637
0.857143 0.473881
0.857143 0.475124
0.857143 0.476368
0.857143 0.477612
0.857143 0.478856
0.857143 0.480100
0.857143 0.481343
0.859813 0.482587
0.862069 0.483831
0.864865 0.485075
0.864865 0.486318
0.864865 0.487562
0.864865 0.488806
0.864865 0.490050
0.865672 0.491294
0.866667 0.492537
0.869565 0.493781
0.869565 0.495025
0.869565 0.496269
0.870968 0.497512
0.871795 0.498756
0.871795 0.500000
0.871795 0.501244
0.871795 0.502488
0.871795 0.503731
0.871795 0.504975
0.873239 0.506219
0.875000 0.507463
0.875000 0.508706
0.875000 0.509950
0.878049 0.511194
0.878049 0.512438
0.878049 0.513682
0.878049 0.514925
0.878049 0.516169
0.878049 0.517413
0.880000 0.518657
0.880000 0.519900
0.881356 0.521144
0.881356 0.522388
0.882353 0.523632
0.883721 0.524876
