f1 cdf
0 0
0.000000 0.001244
0.000000 0.002488
0.000000 0.003731
0.000000 0.004975
0.000000 0.006219
0.000000 0.007463
0.000000 0.008706
0.000000 0.009950
0.000000 0.011194
0.000000 0.012438
0.000000 0.013682
0.000000 0.014925
0.000000 0.016169
0.000000 0.017413
0.000000 0.018657
0.000000 0.019900
0.000000 0.021144
0.000000 0.022388
0.000000 0.023632
0.000000 0.024876
0.000000 0.026119
0.000000 0.027363
0.000000 0.028607
0.000000 0.029851
0.000000 0.031095
0.000000 0.032338
0.000000 0.033582
0.000000 0.034826
0.000000 0.036070
0.000000 0.037313
0.000000 0.038557
0.000000 0.039801
0.000000 0.041045
0.000000 0.042289
0.000000 0.043532
0.000000 0.044776
0.000000 0.046020
0.050000 0.047264
0.052632 0.048507
0.060606 0.049751
0.062500 0.050995
0.068966 0.052239
0.088235 0.053483
0.095238 0.054726
0.096386 0.055970
0.097561 0.057214
0.124031 0.058458
0.125000 0.059701
0.131579 0.060945
0.133333 0.062189
0.150943 0.063433
0.150943 0.064677
0.155556 0.065920
0.162162 0.067164
0.164384 0.068408
0.164948 0.069652
0.170213 0.070896
0.171429 0.072139
0.171429 0.073383
0.173913 0.074627
0.181818 0.075871
0.181818 0.077114
0.181818 0.078358
0.184615 0.079602
0.187500 0.080846
0.193548 0.082090
0.194444 0.083333
0.196078 0.084577
0.196721 0.085821
0.205128 0.087065
0.210526 0.088308
0.210526 0.089552
0.216216 0.090796
0.222222 0.092040
0.222222 0.093284
0.227273 0.094527
0.232558 0.095771
0.235294 0.097015
0.242424 0.098259
0.243902 0.099502
0.243902 0.100746
0.245399 0.101990
0.250000 0.103234
0.250000 0.104478
0.250000 0.105721
0.250000 0.106965
0.250000 0.108209
0.250000 0.109453
0.255319 0.110697
0.258065 0.111940
0.258065 0.113184
0.258065 0.114428
0.263158 0.115672
0.264151 0.116915
0.266667 0.118159
0.266667 0.119403
0.266667 0.120647
0.268293 0.121891
0.272727 0.123134
0.275000 0.124378
0.283186 0.125622
0.285714 0.126866
0.294118 0.128109
0.295455 0.129353
0.296296 0.130597
0.300000 0.131841
0.303030 0.133085
0.305085 0.134328
0.307692 0.135572
0.307692 0.136816
0.308824 0.138060
0.309524 0.139303
0.312500 0.140547
0.312500 0.141791
0.314286 0.143035
0.315789 0.144279
0.319527 0.145522
0.321429 0.146766
0.322581 0.148010
0.325581 0.149254
0.333333 0.150498
0.333333 0.151741
0.333333 0.152985
0.340426 0.154229
0.341463 0.155473
0.347826 0.156716
0.352941 0.157960
0.352941 0.159204
0.352941 0.160448
0.353982 0.161692
0.357143 0.162935
0.358974 0.164179
0.361702 0.165423
0.363636 0.166667
0.363636 0.167910
0.363636 0.169154
0.363636 0.170398
0.363636 0.171642
0.366197 0.172886
0.370370 0.174129
0.375000 0.175373
0.375000 0.176617
0.375000 0.177861
0.375000 0.179104
0.375000 0.180348
0.376471 0.181592
0.382979 0.182836
0.383562 0.184080
0.384615 0.185323
0.384615 0.186567
0.387097 0.187811
0.388889 0.189055
0.390244 0.190299
0.392157 0.191542
0.394558 0.192786
0.400000 0.194030
0.400000 0.195274
0.400000 0.196517
0.400000 0.197761
0.400000 0.199005
0.400000 0.200249
0.400000 0.201493
0.400000 0.202736
0.400000 0.203980
0.400000 0.205224
0.401961 0.206468
0.406780 0.207711
0.409357 0.208955
0.411765 0.210199
0.415094 0.211443
0.416667 0.212687
0.416667 0.213930
0.418605 0.215174
0.421053 0.216418
0.421053 0.217662
0.421875 0.218905
0.426667 0.220149
0.428571 0.221393
0.428571 0.222637
0.431373 0.223881
0.431818 0.225124
0.434783 0.226368
0.434783 0.227612
0.434783 0.228856
0.437500 0.230100
0.439024 0.231343
0.440678 0.232587
0.444444 0.233831
0.444444 0.235075
0.444444 0.236318
0.444444 0.237562
0.444444 0.238806
0.450000 0.240050
0.450000 0.241294
0.451613 0.242537
0.451613 0.243781
0.454545 0.245025
0.454545 0.246269
0.454545 0.247512
0.454545 0.248756
0.457143 0.250000
0.458333 0.251244
0.461538 0.252488
0.461538 0.253731
0.463415 0.254975
0.465116 0.256219
0.468085 0.257463
0.472222 0.258706
0.473684 0.259950
0.473684 0.261194
0.474227 0.262438
0.476190 0.263682
0.476190 0.264925
0.476190 0.266169
0.478261 0.267413
0.478873 0.268657
0.479532 0.269900
0.480000 0.271144
0.486486 0.272388
0.486486 0.273632
0.486486 0.274876
0.488889 0.276119
0.489796 0.277363
0.492308 0.278607
0.500000 0.279851
0.500000 0.281095
0.500000 0.282338
0.500000 0.283582
0.500000 0.284826
0.500000 0.286070
0.500000 0.287313
0.500000 0.288557
0.507614 0.289801
0.510638 0.291045
0.511111 0.292289
0.511628 0.293532
0.511628 0.294776
0.512821 0.296020
0.512821 0.297264
0.519608 0.298507
0.519774 0.299751
0.520833 0.300995
0.521739 0.302239
0.526316 0.303483
0.526316 0.304726
0.526316 0.305970
0.529412 0.307214
0.529412 0.308458
0.533333 0.309701
0.533333 0.310945
0.538462 0.312189
0.545455 0.313433
0.545455 0.314677
0.545455 0.315920
0.549020 0.317164
0.550000 0.318408
0.553571 0.319652
0.555556 0.320896
0.555556 0.322139
0.555556 0.323383
0.555556 0.324627
0.555556 0.325871
0.555556 0.327114
0.560000 0.328358
0.560000 0.329602
0.560000 0.330846
0.560000 0.332090
0.562500 0.333333
0.562500 0.334577
0.563758 0.335821
0.564103 0.337065
0.564103 0.338308
0.566038 0.339552
0.567568 0.340796
0.568966 0.342040
0.571429 0.343284
0.571429 0.344527
0.571429 0.345771
0.571429 0.347015
0.571429 0.348259
0.571429 0.349502
0.578947 0.350746
0.578947 0.351990
0.580645 0.353234
0.580645 0.354478
0.580645 0.355721
0.583333 0.356965
0.585366 0.358209
0.588235 0.359453
0.588235 0.360697
0.588235 0.361940
0.588235 0.363184
0.589928 0.364428
0.591549 0.365672
0.592593 0.366915
0.594595 0.368159
0.595745 0.369403
0.595745 0.370647
0.600000 0.371891
0.600000 0.373134
0.606061 0.374378
0.606061 0.375622
0.606061 0.376866
0.607143 0.378109
0.608696 0.379353
0.612245 0.380597
0.615385 0.381841
0.615385 0.383085
0.615385 0.384328
0.615385 0.385572
0.615385 0.386816
0.615385 0.388060
0.615385 0.389303
0.618182 0.390547
0.620690 0.391791
0.621622 0.393035
0.625000 0.394279
0.625000 0.395522
0.626506 0.396766
0.627451 0.398010
0.628571 0.399254
0.630435 0.400498
0.631579 0.401741
0.631579 0.402985
0.631579 0.404229
0.634146 0.405473
0.634146 0.406716
0.634921 0.407960
0.636364 0.409204
0.636364 0.410448
0.637681 0.411692
0.638298 0.412935
0.640000 0.414179
0.641509 0.415423
0.644068 0.416667
0.646154 0.417910
0.647059 0.419154
0.648402 0.420398
0.648649 0.421642
0.648649 0.422886
0.650000 0.424129
0.650000 0.425373
0.650000 0.426617
0.651163 0.427861
0.651163 0.429104
0.651163 0.430348
0.652174 0.431592
0.652174 0.432836
0.652174 0.434080
0.653061 0.435323
0.653846 0.436567
0.655172 0.437811
0.658824 0.439055
0.666667 0.440299
0.666667 0.441542
0.666667 0.442786
0.666667 0.444030
0.666667 0.445274
0.666667 0.446517
0.666667 0.447761
0.666667 0.449005
0.666667 0.450249
0.666667 0.451493
0.666667 0.452736
0.666667 0.453980
0.666667 0.455224
0.666667 0.456468
0.666667 0.457711
0.666667 0.458955
0.666667 0.460199
0.672269 0.461443
0.677419 0.462687
0.680000 0.463930
0.680851 0.465174
0.681818 0.466418
0.681818 0.467662
0.682927 0.468905
0.682927 0.470149
0.682927 0.471393
0.682927 0.472637
0.683761 0.473881
0.684211 0.475124
0.685714 0.476368
0.685714 0.477612
0.687500 0.478856
0.689655 0.480100
0.689655 0.481343
0.692308 0.482587
0.693878 0.483831
0.693878 0.485075
0.695652 0.486318
0.695652 0.487562
0.695652 0.488806
0.695652 0.490050
0.695652 0.491294
0.696970 0.492537
0.697674 0.493781
0.697674 0.495025
0.697674 0.496269
0.698413 0.497512
0.700000 0.498756
0.700000 0.500000
0.702703 0.501244
0.702703 0.502488
0.702703 0.503731
0.702970 0.504975
0.705882 0.506219
0.705882 0.507463
0.705882 0.508706
0.707317 0.509950
0.708333 0.511194
0.708861 0.512438
0.709677 0.513682
0.709677 0.514925
0.709677 0.516169
0.711111 0.517413
0.711111 0.518657
0.711111 0.519900
0.711111 0.521144
0.711111 0.522388
0.711111 0.523632
0.714286 0.524876
