recall precision
0.907649 0.092635
0.907649 0.092635
0.883434 0.151117
0.837031 0.191519
0.816304 0.222125
0.787889 0.254383
0.772291 0.280813
0.760683 0.302350
0.745277 0.325239
0.722800 0.339607
0.713625 0.355863
0.700786 0.369920
0.684856 0.380131
0.676171 0.393180
0.674270 0.411338
0.673212 0.426244
0.669963 0.435052
0.664484 0.448963
0.661243 0.459683
0.655998 0.467654
0.649794 0.474208
0.646304 0.483275
0.642194 0.494390
0.635539 0.504258
0.632668 0.516654
0.631198 0.527413
0.625717 0.533184
0.614413 0.531311
0.609924 0.537766
0.604416 0.545438
0.598617 0.552181
0.588628 0.554839
0.583962 0.558620
0.576879 0.561427
0.570230 0.568357
0.565980 0.573944
0.556257 0.569996
0.546017 0.568553
0.535203 0.566590
0.533953 0.568656
0.522909 0.570527
0.516033 0.573281
0.510842 0.575589
0.507005 0.578854
0.504218 0.582061
0.499022 0.583996
0.496471 0.587839
0.490487 0.598337
0.487771 0.600794
0.484251 0.608957
0.481241 0.613503
0.474860 0.619322
0.467794 0.622988
0.461343 0.625858
0.455698 0.626851
0.452660 0.631429
0.449178 0.635726
0.442487 0.635799
0.436520 0.641612
0.428465 0.644539
0.414783 0.648695
0.399647 0.645032
0.393255 0.646111
0.386929 0.644755
0.382833 0.644248
0.379673 0.644891
0.357500 0.639096
0.350696 0.641191
0.347580 0.649258
0.335306 0.647384
0.325679 0.647522
0.318234 0.650838
0.310600 0.650081
0.307726 0.653593
0.299864 0.656653
0.293333 0.657272
0.288655 0.654845
0.287793 0.664513
0.277809 0.663618
0.271344 0.666387
0.264840 0.665693
0.255862 0.664835
0.243861 0.656486
0.239389 0.670643
0.235836 0.669936
0.230581 0.661912
0.223406 0.658967
0.219689 0.659300
0.213791 0.678850
0.195189 0.603637
0.187454 0.604394
0.178950 0.606517
0.165578 0.608438
0.154197 0.612572
0.136694 0.574839
0.122130 0.582049
0.095534 0.574165
0.074123 0.545062
0.051415 0.465741
0.032168 0.396296
0.016638 0.222222
