recall precision
0.907649 0.092558
0.907649 0.092558
0.883434 0.152655
0.837031 0.191510
0.816304 0.223758
0.787889 0.253070
0.773096 0.277958
0.762293 0.300064
0.745277 0.325994
0.723417 0.338582
0.714242 0.357310
0.700615 0.371962
0.687788 0.380676
0.680990 0.395093
0.673829 0.408924
0.671625 0.427849
0.669174 0.438151
0.665102 0.450731
0.661860 0.459381
0.658297 0.466937
0.652263 0.473324
0.646167 0.482883
0.643783 0.493983
0.638255 0.504285
0.635185 0.511479
0.631198 0.522084
0.626505 0.525228
0.614413 0.524631
0.609136 0.531923
0.605497 0.541938
0.598617 0.548303
0.594801 0.553720
0.590135 0.557839
0.586308 0.561840
0.575786 0.566470
0.570023 0.573257
0.561284 0.570855
0.550462 0.568609
0.544450 0.563421
0.532054 0.563730
0.520027 0.565148
0.517123 0.567523
0.512900 0.571111
0.507298 0.573453
0.503601 0.575728
0.500992 0.579590
0.497911 0.585068
0.491928 0.597422
0.487924 0.600844
0.483340 0.609010
0.481379 0.612632
0.474072 0.618713
0.469168 0.622171
0.462805 0.625495
0.454325 0.627111
0.449913 0.628739
0.448334 0.631376
0.440812 0.634221
0.430552 0.639779
0.423107 0.644250
0.410675 0.647675
0.398536 0.644218
0.393255 0.646574
0.387685 0.645284
0.379728 0.644971
0.376306 0.644554
0.354333 0.637286
0.343206 0.640442
0.340846 0.648510
0.328572 0.648079
0.318157 0.643482
0.315360 0.650535
0.307233 0.648985
0.305115 0.653012
0.299864 0.655136
0.295912 0.652495
0.289149 0.655039
0.286015 0.660058
0.275803 0.663618
0.271344 0.666387
0.265596 0.665693
0.256124 0.664835
0.244088 0.656397
0.239389 0.670643
0.235836 0.669936
0.231336 0.661912
0.223406 0.658967
0.219689 0.659300
0.210424 0.659670
0.191328 0.602975
0.185357 0.603732
0.178103 0.601226
0.170215 0.608438
0.158340 0.612572
0.142934 0.574839
0.119815 0.579607
0.101420 0.574165
0.075887 0.545062
0.056546 0.465741
0.037459 0.433333
0.020165 0.259259
