recall precision
0.907649 0.086028
0.907649 0.086028
0.883434 0.145937
0.837031 0.186414
0.813546 0.219221
0.788550 0.247480
0.773096 0.269553
0.762293 0.293848
0.745938 0.321710
0.722800 0.335264
0.713625 0.351712
0.700786 0.369143
0.684856 0.377443
0.678587 0.388539
0.674270 0.405981
0.672211 0.422186
0.668962 0.431413
0.663483 0.448828
0.661243 0.457885
0.653731 0.464984
0.649794 0.471656
0.646304 0.485497
0.642194 0.494372
0.635294 0.503828
0.632668 0.511697
0.628685 0.519277
0.624716 0.525953
0.614413 0.528056
0.609924 0.534213
0.604416 0.543286
0.598617 0.550840
0.588628 0.550089
0.583962 0.553770
0.573512 0.555966
0.567619 0.562797
0.561857 0.569854
0.554402 0.566502
0.542650 0.564581
0.531080 0.557194
0.530586 0.561539
0.520610 0.563239
0.515217 0.568326
0.505358 0.574848
0.500764 0.576092
0.497978 0.581631
0.492288 0.583379
0.489737 0.587222
0.481898 0.597545
0.479725 0.600258
0.474644 0.602136
0.472389 0.614202
0.464497 0.615829
0.457693 0.621960
0.451242 0.624830
0.445597 0.625822
0.442559 0.630870
0.439077 0.634697
0.433142 0.634272
0.423002 0.640844
0.411630 0.644672
0.401315 0.647152
0.388790 0.643769
0.383154 0.644848
0.374217 0.642831
0.370121 0.642324
0.364641 0.642087
0.344526 0.637929
0.336350 0.637138
0.333605 0.647007
0.322331 0.646987
0.311717 0.646946
0.306075 0.647928
0.300499 0.647810
0.298381 0.652006
0.292129 0.654840
0.289966 0.658147
0.285782 0.660396
0.282863 0.660633
0.274935 0.662957
0.266343 0.662198
0.257358 0.660093
0.253251 0.664174
0.237883 0.654942
0.232655 0.669099
0.229102 0.668392
0.222545 0.654954
0.216672 0.657424
0.212955 0.676275
0.205000 0.641117
0.191261 0.600859
0.183526 0.601616
0.169605 0.599109
0.162211 0.601031
0.150830 0.605164
0.136694 0.567432
0.128303 0.582049
0.105829 0.574165
0.080296 0.582099
0.051415 0.465741
0.028801 0.396296
0.013271 0.222222
