sec cdf
0.000000 0.000000
8.075550 0.037037
11.182171 0.074074
11.637044 0.111111
11.869394 0.148148
12.664704 0.185185
13.017646 0.222222
14.004888 0.259259
14.344876 0.296296
15.152708 0.333333
17.095899 0.370370
17.373259 0.407407
17.544298 0.444444
18.050698 0.481481
18.659702 0.518519
19.385133 0.555556
21.556580 0.592593
22.062083 0.629630
25.685874 0.666667
52.898771 0.703704
53.876422 0.740741
57.300111 0.777778
57.740063 0.814815
61.276904 0.851852
63.321829 0.888889
65.819610 0.925926
83.128183 0.962963
83.198883 1.000000
