sec cdf
0.000000 0.000000
8.472858 0.037037
10.803337 0.074074
11.664035 0.111111
11.944452 0.148148
12.027493 0.185185
13.474261 0.222222
13.526914 0.259259
13.656496 0.296296
14.811206 0.333333
15.836670 0.370370
16.649163 0.407407
17.504922 0.444444
18.038931 0.481481
18.089854 0.518519
20.681976 0.555556
22.379946 0.592593
22.872367 0.629630
26.998853 0.666667
54.269234 0.703704
57.717052 0.740741
61.103331 0.777778
62.160627 0.814815
64.535492 0.851852
70.348922 0.888889
71.076457 0.925926
92.924485 0.962963
93.235697 1.000000
