sec cdf
0.000000 0.000000
8.036251 0.037037
11.129368 0.074074
11.582718 0.111111
12.074185 0.148148
12.508003 0.185185
12.723035 0.222222
12.839792 0.259259
13.038914 0.296296
14.393764 0.333333
17.108880 0.370370
17.263497 0.407407
17.583420 0.444444
17.729684 0.481481
18.544458 0.518519
20.435321 0.555556
20.764815 0.592593
23.578354 0.629630
25.850850 0.666667
52.501389 0.703704
54.134663 0.740741
57.451242 0.777778
58.159358 0.814815
60.140450 0.851852
64.345769 0.888889
65.730756 0.925926
81.688964 0.962963
83.829166 1.000000
