sec cdf
0.000000 0.000000
8.566966 0.037037
11.380714 0.074074
12.461335 0.111111
12.544705 0.148148
12.888174 0.185185
13.389453 0.222222
13.471925 0.259259
14.404863 0.296296
15.173485 0.333333
15.888469 0.370370
16.198265 0.407407
16.505732 0.444444
17.339352 0.481481
18.120242 0.518519
19.522910 0.555556
21.620224 0.592593
21.880235 0.629630
26.041670 0.666667
52.332593 0.703704
53.661938 0.740741
59.848099 0.777778
60.092539 0.814815
60.242308 0.851852
65.377979 0.888889
67.072602 0.925926
80.480296 0.962963
80.501567 1.000000
