sec cdf
0.000000 0.000000
8.451685 0.037037
10.717025 0.074074
11.312739 0.111111
11.528172 0.148148
11.875448 0.185185
12.712294 0.222222
13.082346 0.259259
13.319391 0.296296
14.714088 0.333333
16.850824 0.370370
17.424405 0.407407
17.986357 0.444444
18.731377 0.481481
18.956294 0.518519
19.163575 0.555556
20.625267 0.592593
22.689397 0.629630
25.499547 0.666667
52.867353 0.703704
54.969197 0.740741
57.989197 0.777778
58.368837 0.814815
61.412150 0.851852
63.369489 0.888889
66.630629 0.925926
82.928292 0.962963
83.697054 1.000000
