sec cdf
0.000000 0.000000
8.480738 0.037037
11.614069 0.074074
11.736043 0.111111
12.275158 0.148148
12.326913 0.185185
12.889156 0.222222
13.328019 0.259259
13.391476 0.296296
14.279499 0.333333
16.685970 0.370370
17.272905 0.407407
17.584498 0.444444
18.072855 0.481481
18.425392 0.518519
19.444434 0.555556
22.161616 0.592593
24.777348 0.629630
27.119875 0.666667
53.434307 0.703704
56.590736 0.740741
60.646357 0.777778
61.524986 0.814815
65.141990 0.851852
68.405839 0.888889
71.311275 0.925926
92.999224 0.962963
93.965751 1.000000
