sec cdf
0.000000 0.000000
8.665025 0.037037
10.672301 0.074074
11.707993 0.111111
11.789164 0.148148
12.557997 0.185185
12.668923 0.222222
13.508657 0.259259
13.853976 0.296296
13.910291 0.333333
16.028078 0.370370
17.568772 0.407407
17.804111 0.444444
17.993229 0.481481
19.020312 0.518519
19.185951 0.555556
20.897818 0.592593
22.275169 0.629630
26.053077 0.666667
50.790982 0.703704
53.636023 0.740741
57.411382 0.777778
59.314905 0.814815
59.531427 0.851852
64.279406 0.888889
67.351930 0.925926
82.612037 0.962963
86.847254 1.000000
