sec cdf
0.000000 0.000000
7.120802 0.037037
8.427026 0.074074
11.279277 0.111111
11.964679 0.148148
12.328286 0.185185
12.756143 0.222222
12.933819 0.259259
13.394180 0.296296
14.351218 0.333333
15.638455 0.370370
17.408553 0.407407
17.641397 0.444444
18.237156 0.481481
18.881716 0.518519
19.345800 0.555556
20.142318 0.592593
20.749925 0.629630
24.407179 0.666667
48.763282 0.703704
51.238922 0.740741
54.372041 0.777778
56.510502 0.814815
57.347594 0.851852
61.892563 0.888889
64.049836 0.925926
78.338040 0.962963
80.957369 1.000000
