f1 survival
0.000000 1.000000
0.250000 0.962963
0.424242 0.925926
0.454545 0.888889
0.457143 0.851852
0.500000 0.814815
0.520548 0.777778
0.545455 0.740741
0.576271 0.703704
0.597403 0.666667
0.639456 0.629630
0.662338 0.592593
0.695652 0.555556
0.704545 0.518519
0.705882 0.481481
0.720930 0.444444
0.732919 0.407407
0.742857 0.370370
0.776119 0.333333
0.818182 0.296296
0.845070 0.259259
0.845361 0.222222
0.878049 0.185185
0.894737 0.148148
0.923077 0.111111
0.968421 0.074074
0.974359 0.037037
1.000000 0.000000
