f1 survival
0.000000 1.000000
0.000000 0.962963
0.000000 0.925926
0.109589 0.888889
0.206186 0.851852
0.272727 0.814815
0.322581 0.777778
0.333333 0.740741
0.337500 0.703704
0.410256 0.666667
0.418605 0.629630
0.418605 0.592593
0.478873 0.555556
0.488095 0.518519
0.510870 0.481481
0.518519 0.444444
0.528736 0.407407
0.611765 0.370370
0.631579 0.333333
0.659574 0.296296
0.666667 0.259259
0.673469 0.222222
0.686131 0.185185
0.772727 0.148148
0.845070 0.111111
0.877551 0.074074
0.950000 0.037037
0.956522 0.000000
