target_id,pdb_id,chain_id,truth_len,ref_pairs,ref_pk_pairs,ref_pair_density,length_bucket,rfam_id,n_predictions,top1_precision,top1_recall,top1_f1,top1_mcc,top100_rank_f1,top100_pred_pairs,top100_precision,top100_recall,top100_f1,top100_mcc,delta_f1,delta_mcc
1B23|1|R,1b23,R,73,12,2,0.1643835616438356,30-80,no_rfam_hit,100,0.3684210526315789,0.5833333333333334,0.4516129032258065,0.46055742504656516,93,19,0.5789473684210527,0.9166666666666666,0.7096774193548387,0.727035829498871,0.25806451612903225,0.26647840445230586
1E8O|1|E,1e8o,E,49,14,8,0.2857142857142857,30-80,RF00017,100,0.65,0.9285714285714286,0.7647058823529412,0.7738589759093099,68,13,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8132382502490716,0.050108932461873534,0.03937927433976174
1ET4|1|A,1et4,A,35,7,3,0.2,30-80,no_rfam_hit,98,0.3333333333333333,0.42857142857142855,0.375,0.36959441622468997,18,6,0.5,0.42857142857142855,0.4615384615384615,0.4570107664486824,0.08653846153846151,0.08741635022399241
1F1T|1|A,1f1t,A,38,13,0,0.34210526315789475,30-80,no_rfam_hit,17,1.0,0.23076923076923078,0.375,0.47694080080501344,16,7,1.0,0.5384615384615384,0.7000000000000001,0.7306296111212677,0.32500000000000007,0.25368881031625423
1F7U|1|B,1f7u,B,75,20,4,0.26666666666666666,30-80,no_rfam_hit,100,0.9333333333333333,0.7,0.8,0.8071391486618722,84,15,1.0,0.75,0.8571428571428571,0.8652406048885051,0.05714285714285705,0.058101456226632875
1FIR|1|A,1fir,A,73,22,5,0.3013698630136986,30-80,RF00005,100,0.625,0.45454545454545453,0.5263157894736842,0.5296925860599815,1,16,0.625,0.45454545454545453,0.5263157894736842,0.5296925860599815,0.0,0.0
1GAX|1|D,1gax,D,75,15,0,0.2,30-80,RF00005,100,0.4583333333333333,0.7333333333333333,0.5641025641025641,0.5769686857937785,24,20,0.75,1.0,0.8571428571428571,0.8652406048885051,0.293040293040293,0.2882719190947266
1H4S|1|T,1h4s,T,67,20,5,0.29850746268656714,30-80,RF00005,100,0.7916666666666666,0.95,0.8636363636363635,0.8659349621085508,59,19,1.0,0.95,0.9743589743589743,0.9744570826051889,0.1107226107226108,0.10852212049663812
1I6U|1|C,1i6u,C,37,15,0,0.40540540540540543,30-80,RF00065,100,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8635944700460829,6,15,1.0,1.0,1.0,1.0,0.1333333333333333,0.13640552995391708
1IL2|1|C,1il2,C,75,21,5,0.28,30-80,RF00005,100,0.9411764705882353,0.7619047619047619,0.8421052631578947,0.8457922209091725,69,20,0.95,0.9047619047619048,0.9268292682926829,0.9265647877387647,0.08472400513478817,0.08077256682959222
1J1U|1|B,1j1u,B,74,20,0,0.2702702702702703,30-80,RF00005,100,0.8333333333333334,1.0,0.9090909090909091,0.9121896821183209,3,21,0.9523809523809523,1.0,0.975609756097561,0.9757180529762425,0.0665188470066519,0.06352837085792162
1J2B|1|C,1j2b,C,77,9,0,0.11688311688311688,30-80,RF00005,100,0.36,1.0,0.5294117647058824,0.598352211100879,98,19,0.47368421052631576,1.0,0.6428571428571429,0.6870664712832408,0.11344537815126055,0.08871426018236184
1KH6|1|A,1kh6,A,48,16,0,0.3333333333333333,30-80,RF02914,87,0.8461538461538461,0.6875,0.7586206896551724,0.7596933693607091,29,12,0.9166666666666666,0.6875,0.7857142857142857,0.7913961237635522,0.027093596059113323,0.03170275440284309
1KOG|1|O,1kog,O,37,13,0,0.35135135135135137,30-80,no_rfam_hit,100,1.0,1.0,1.0,1.0,1,13,1.0,1.0,1.0,1.0,0.0,0.0
1KUQ|1|B,1kuq,B,57,18,0,0.3157894736842105,30-80,RF01544,100,0.2,0.2222222222222222,0.2105263157894737,0.20132703926011455,81,19,0.8947368421052632,0.9444444444444444,0.918918918918919,0.9183121163005534,0.7083926031294453,0.7169850770404389
1KXK|1|A,1kxk,A,70,20,0,0.2857142857142857,30-80,RF00029,100,0.7083333333333334,0.85,0.7727272727272727,0.7739187398175069,8,21,0.8571428571428571,0.9,0.8780487804878048,0.8772708092787036,0.10532150776053206,0.10335206946119668
