target_id,method,k,effective_k,f1,mcc
7OLD|1|5,ens,1,1,0.6874999999999999,0.7085503437886098
7OLD|1|5,ens,50,50,0.7333333333333334,0.7471983541799819
7OLD|1|5,ens,100,100,0.7333333333333334,0.7471983541799819
7OLD|1|5,ens,200,200,0.7333333333333334,0.7471983541799819
7OLD|1|5,ens,500,500,0.8,0.8156095664551956
7ELQ|1|B,ens,1,1,0.7407407407407408,0.7376817003180394
7ELQ|1|B,ens,50,50,0.888888888888889,0.887981120633919
7ELQ|1|B,ens,100,100,0.888888888888889,0.887981120633919
7ELQ|1|B,ens,200,200,0.888888888888889,0.887981120633919
7ELQ|1|B,ens,500,500,0.888888888888889,0.887981120633919
8JFT|1|B,ens,1,1,0.65,0.6798864603896955
8JFT|1|B,ens,50,50,0.6666666666666666,0.6934611965374539
8JFT|1|B,ens,100,100,0.6666666666666666,0.6934611965374539
8JFT|1|B,ens,200,200,0.6842105263157894,0.707873458311466
8JFT|1|B,ens,500,500,0.7647058823529412,0.7759296668160331
4YCO|1|D,ens,1,1,0.8571428571428571,0.8600038945997405
4YCO|1|D,ens,50,50,0.9,0.9003989249848233
4YCO|1|D,ens,100,100,0.9230769230769231,0.9228257432080371
4YCO|1|D,ens,200,200,0.9230769230769231,0.9228257432080371
4YCO|1|D,ens,500,500,0.9230769230769231,0.9228257432080371
7OS0|1|F,ens,1,1,0.8571428571428571,0.865219423708686
7OS0|1|F,ens,50,50,0.923076923076923,0.9253893855832614
7OS0|1|F,ens,100,100,0.923076923076923,0.9253893855832614
7OS0|1|F,ens,200,200,0.923076923076923,0.9253893855832614
7OS0|1|F,ens,500,500,0.923076923076923,0.9253893855832614
7OZQ|1|H,ens,1,1,0.888888888888889,0.8925924666248366
7OZQ|1|H,ens,50,50,1.0,1.0
7OZQ|1|H,ens,100,100,1.0,1.0
7OZQ|1|H,ens,200,200,1.0,1.0
7OZQ|1|H,ens,500,500,1.0,1.0
7BHP|1|B,ens,1,1,0.5454545454545454,0.6074457873879648
7BHP|1|B,ens,50,50,0.6,0.6504436355879909
7BHP|1|B,ens,100,100,0.6,0.6504436355879909
7BHP|1|B,ens,200,200,0.631578947368421,0.6755449257788575
7BHP|1|B,ens,500,500,0.631578947368421,0.6755449257788575
7JRR|1|A,ens,1,1,0.0,-0.010234790220364208
7JRR|1|A,ens,50,50,0.5333333333333333,0.6012916382911931
7JRR|1|A,ens,100,100,0.5333333333333333,0.6012916382911931
7JRR|1|A,ens,200,200,0.88,0.885309354061504
7JRR|1|A,ens,500,500,0.9565217391304348,0.9570326990443366
6U8D|1|A,ens,1,1,0.6415094339622641,0.6374076986890596
6U8D|1|A,ens,50,50,0.6938775510204083,0.6942870530869767
6U8D|1|A,ens,100,100,0.9811320754716981,0.9810888642298522
6U8D|1|A,ens,200,200,0.9811320754716981,0.9810888642298522
6U8D|1|A,ens,500,500,0.9811320754716981,0.9810888642298522
7ST2|1|5,ens,1,1,0.9090909090909091,0.9122424465333594
7ST2|1|5,ens,50,50,0.9523809523809523,0.953134431400992
7ST2|1|5,ens,100,100,0.975609756097561,0.9757321472701072
7ST2|1|5,ens,200,200,0.975609756097561,0.9757321472701072
7ST2|1|5,ens,500,500,1.0,1.0
6UFM|1|A,ens,1,1,0.9767441860465117,0.9768402466472599
6UFM|1|A,ens,50,50,0.9767441860465117,0.9768402466472599
6UFM|1|A,ens,100,100,0.9767441860465117,0.9768402466472599
6UFM|1|A,ens,200,200,0.9767441860465117,0.9768402466472599
6UFM|1|A,ens,500,500,0.9767441860465117,0.9768402466472599
6UGI|1|A,ens,1,1,1.0,1.0
6UGI|1|A,ens,50,50,1.0,1.0
6UGI|1|A,ens,100,100,1.0,1.0
6UGI|1|A,ens,200,200,1.0,1.0
6UGI|1|A,ens,500,500,1.0,1.0
7P48|1|5,ens,1,1,0.6666666666666666,0.7057550177993555
7P48|1|5,ens,50,50,0.7142857142857143,0.7442163037713453
7P48|1|5,ens,100,100,0.7142857142857143,0.7442163037713453
7P48|1|5,ens,200,200,0.7407407407407407,0.7659389482691302
7P48|1|5,ens,500,500,0.7692307692307693,0.7896629716921811
